연도,캠페인유형,캠페인,광고그룹,"총비용(VAT포함,원)",노출수,클릭수,전환수,전환매출액(원),ROAS,CTR,CVR
2025,브랜드검색/신제품검색,01.신규 자사명@naver_brandsearch,신규_MO_자사명@cpd_hejhome_h,0,402363,134885,65396,1019436060,inf,0.3352321163,0.4848278163
2025,브랜드검색/신제품검색,01.신규 자사명@naver_brandsearch,신규_MO_자사명_키워드수정@cpd_hejhome_h,0,377283,132962,83442,1293579570,inf,0.3524198016,0.6275627623
2025,브랜드검색/신제품검색,01.신규 자사명@naver_brandsearch,신규_PC_자사명@cpd_hejhome_h,0,76460,36667,20433,380591650,inf,0.4795579388,0.5572585704
2025,브랜드검색/신제품검색,01.신규 자사명@naver_brandsearch,신규_PC_자사명_키워드수정@cpd_hejhome_h,0,73810,37400,23165,434830900,inf,0.5067064083,0.6193850267
2025,브랜드검색/신제품검색,신제품_TEST,신제품_강아지자동급식기,0,822,129,0,0,0,0.1569343066,0
2025,브랜드검색/신제품검색,신제품_TEST,신제품_고양이자동급식기,0,749,110,0,0,0,0.1468624833,0
2025,브랜드검색/신제품검색,신제품검색#1@naver_cpp_fd471,신제품@naver_NEWDA_cpp_분쇄기,0,3362,125,0,0,0,0.03718024985,0
2025,쇼핑검색,(공식몰)하츠_MO_쇼검,(공식몰)하츠_MO_쇼검,29557,2849,24,0,0,0,0.008424008424,0
2025,쇼핑검색,(공식몰)하츠_PC_쇼검,(공식몰)하츠_PC_쇼검,2981,356,3,0,0,0,0.008426966292,0
2025,쇼핑검색,00.브랜드형@naver_shoppingbrand,00-0.자상호@cpc_mc05_h,16412,3296,49,21,164700,10.03534,0.01486650485,0.4285714286
2025,쇼핑검색,00.브랜드형@naver_shoppingbrand,00-0.자상호@cpc_mc05_h-s,2321,1819,7,0,0,0,0.003848268279,0
2025,쇼핑검색,00.자상호_MO@naver_shoppingsearch,01-1.홈카메라_MO@cpc_mc05_h,124087293,2114259,63794,24148,484895120,3.907693594,0.03017321908,0.3785308963
2025,쇼핑검색,00.자상호_MO@naver_shoppingsearch,01-4.펫캠_MO@cpc_mc059_h,6466262,415749,3601,1399,22798280,3.525727847,0.008661476035,0.3885031936
2025,쇼핑검색,00.자상호_MO@naver_shoppingsearch,01-5.베이비캠_MO@cpc_mc05_h,2003573,73930,1417,473,9909080,4.945704499,0.01916677939,0.3338038109
2025,쇼핑검색,00.자상호_MO@naver_shoppingsearch,02-1.전동커튼_MO@cpc_curtainset_h,1328404,1197385,1230,44,1474790,1.110196898,0.001027238524,0.03577235772
2025,쇼핑검색,00.자상호_MO@naver_shoppingsearch,03-2.전구_MO@cpc_lb03r_h,666710,50796,978,168,2386610,3.579682321,0.01925348453,0.1717791411
2025,쇼핑검색,00.자상호_MO@naver_shoppingsearch,03-3.무드등_MO@cpc_md08_h,1243,3363,3,0,0,0,0.0008920606601,0
2025,쇼핑검색,00.자상호_MO@naver_shoppingsearch,04-1.온습도계_MO@cpc_th14_h,1120977,124845,1578,671,7151770,6.379943567,0.01263967319,0.4252217997
2025,쇼핑검색,00.자상호_MO@naver_shoppingsearch,04-1.온습도센서_MO@cpc_th02_h,3902107,223143,3740,528,5808690,1.488603465,0.01676055265,0.1411764706
2025,쇼핑검색,00.자상호_MO@naver_shoppingsearch,07-1.펫급식기_MO@cpc_pf32_h,471229,104396,456,67,3280800,6.962220067,0.004367983448,0.1469298246
2025,쇼핑검색,00.자상호_PC@naver_shoppingsearch,01-1.홈카메라_PC@cpc_mc05_h,32818291,635882,16598,5662,127596440,3.887967231,0.02610232716,0.3411254368
2025,쇼핑검색,00.자상호_PC@naver_shoppingsearch,01-4.펫캠_PC@cpc_mc059_h,1231351,65255,788,240,4947100,4.017619671,0.01207570301,0.3045685279
2025,쇼핑검색,00.자상호_PC@naver_shoppingsearch,01-5.베이비캠_PC@cpc_mc05_h,88880,9515,66,26,998700,11.23649865,0.006936416185,0.3939393939
2025,쇼핑검색,00.자상호_PC@naver_shoppingsearch,02-1.전동커튼_PC@cpc_curtainset_h,583099,152006,519,59,3079400,5.281092919,0.003414338908,0.1136801541
2025,쇼핑검색,00.자상호_PC@naver_shoppingsearch,03-2.전구_PC@cpc_lb03r_h,6523,1493,17,0,0,0,0.01138647019,0
2025,쇼핑검색,00.자상호_PC@naver_shoppingsearch,04-1.온습도센서_PC@cpc_th02_h,74492,5564,167,47,777590,10.43857058,0.03001437815,0.2814371257
2025,쇼핑검색,01.브랜드형_쇼검@naver_shoppingbrand, 01-1.홈카메라@cpc_mc05_h,519244,201845,699,250,4161260,8.014074308,0.003463053333,0.3576537911
2025,쇼핑검색,01.브랜드형_쇼검@naver_shoppingbrand, 01-1.홈카메라@cpc_mc05_h-s,698192,1298215,1667,58,4934640,7.067740679,0.00128407082,0.03479304139
2025,쇼핑검색,01.브랜드형_쇼검@naver_shoppingbrand,01-1.커튼@cpc_curtainset_h,912373,831478,1110,11,423470,0.4641413106,0.001334972182,0.00990990991
