월,캠페인,"총비용(VAT포함,원)",노출수,클릭수,전환수,전환매출액(원),ROAS,CTR,CVR
2025-01,00.브랜드_MO@naver_powerlink,1862212,105130,1916,722,15211920,8.168736964427252,0.01822505469418815,0.3768267223382046
2025-01,00.브랜드_PC@naver_powerlink,449020,42416,958,452,10839180,24.139637432631062,0.0225858166729536,0.4718162839248434
2025-01,00.브랜드형@naver_shoppingbrand,6644,1830,20,10,119800,18.03130644190247,0.01092896174863388,0.5
2025-01,00.자상호_MO@naver_shoppingsearch,11820138,344504,11756,5824,111070600,9.396726163433962,0.03412442235794069,0.49540660088465466
2025-01,00.자상호_PC@naver_shoppingsearch,1934526,29138,1794,880,20372640,10.531075829427984,0.06156908504358569,0.49052396878483834
2025-01,01.브랜드형_쇼검@naver_shoppingbrand,1138676,684116,1244,222,3444340,3.024863964815277,0.0018184050658075531,0.17845659163987138
2025-01,01.신규 자사명@naver_brandsearch,0,137344,49506,30026,497562260,0.0,0.3604525862068966,0.6065123419383509
2025-01,01.펫_MO@naver_shoppingbrand,261316,287796,502,72,1190200,4.554638828085536,0.001744291095081238,0.14342629482071714
2025-01,01.펫_PC@naver_shoppingbrand,660,98920,2,0,0,0.0,2.0218358269308533e-05,0.0
2025-01,01.홈카메라_메인_MO@naver_powerlink,1792868,74142,1200,186,3549800,1.9799561373174155,0.016185158209921502,0.155
2025-01,01.홈카메라_메인_PC@naver_powerlink,82830,39842,100,0,0,0.0,0.002509914160935696,0.0
2025-01,01.홈카메라_쿠팡_MO@naver_powerlink,10326976,1112096,8674,1668,32682280,3.1647483251631456,0.007799686358012258,0.19229882407193913
2025-01,01.홈카메라_쿠팡_PC@naver_powerlink,1027972,474322,894,140,4002840,3.893919289630457,0.0018847955608215516,0.15659955257270694
2025-01,01.홈카메라_확장_MO@naver_powerlink,342760,59248,428,74,1218400,3.5546738242502043,0.007223872535781798,0.17289719626168223
2025-01,01.홈카메라_확장_PC@naver_powerlink,78100,6342,80,10,139800,1.7900128040973111,0.01261431725007884,0.125
2025-01,01.홈캠_MO@naver_shoppingsearch,22497552,1033734,13718,2346,54034580,2.401798204533542,0.013270338404270344,0.17101618311707245
2025-01,01.홈캠_PC@naver_shoppingsearch,2397538,68800,1466,268,7049020,2.9401077271767955,0.02130813953488372,0.18281036834924966
2025-01,02.로봇청소기_메인_MO@naver_powerlink,298606,187724,334,2,0,0.0,0.00177920777311372,0.005988023952095809
2025-01,02.로봇청소기_메인_PC@naver_powerlink,230846,609512,268,4,1426200,6.1781447371840965,0.00043969601911037024,0.014925373134328358
2025-01,02.로봇청소기_확장_MO@naver_powerlink,80234,8026,186,2,0,0.0,0.02317468228258161,0.010752688172043012
2025-01,02.로봇청소기_확장_PC@naver_powerlink,193292,17314,110,0,0,0.0,0.0063532401524777635,0.0
2025-01,02.커튼_MO@naver_shoppingsearch,107624,35414,204,78,1129800,10.497658514829405,0.005760433726774722,0.38235294117647056
2025-01,02.커튼_PC@naver_shoppingsearch,107360,2516,96,0,0,0.0,0.03815580286168521,0.0
2025-01,03.반려_메인_MO@naver_powerlink,1305920,140036,1130,116,4182800,3.202952707669689,0.008069353594789911,0.10265486725663717
2025-01,03.반려_메인_PC@naver_powerlink,242220,58886,240,30,1014600,4.188754025266287,0.0040756716367218015,0.125
2025-01,03.반려_확장_MO@naver_powerlink,642026,36590,726,122,3018800,4.701990262076614,0.019841486745012297,0.16804407713498623
2025-01,03.반려_확장_PC@naver_powerlink,187066,8356,186,46,1885800,10.080934001903072,0.02225945428434658,0.24731182795698925
2025-01,03.조명_MO@naver_shoppingsearch,1606,384,4,2,39800,24.782067247820674,0.010416666666666666,0.5
2025-01,03.조명_PC@naver_shoppingsearch,63184,3672,72,26,194400,3.0767282856419347,0.0196078431372549,0.3611111111111111
2025-01,04.리모컨허브_메인_MO@naver_powerlink,13882,40154,66,20,123600,8.903616193632041,0.0016436718633261941,0.30303030303030304
2025-01,04.리모컨허브_메인_PC@naver_powerlink,10736,15858,44,2,39800,3.7071535022354696,0.002774624795056123,0.045454545454545456
2025-01,05.전원_MO@naver_shoppingsearch,6556,21874,104,4,33800,5.155582672361196,0.004754503062997166,0.038461538461538464
2025-01,05.커튼set_메인_MO@naver_powerlink,3641770,293028,3376,298,10547200,2.896174113137293,0.01152108330944483,0.08827014218009478
2025-01,05.커튼set_메인_PC@naver_powerlink,911812,140352,630,38,1731400,1.898856343193553,0.004488714090287278,0.06031746031746032
2025-01,05.커튼set_확장_MO@naver_powerlink,21186,2146,74,0,0,0.0,0.034482758620689655,0.0
2025-01,05.커튼set_확장_PC@naver_powerlink,17380,1124,34,16,0,0.0,0.030249110320284697,0.47058823529411764
2025-01,06.멀티탭_메인_MO@naver_powerlink,54846,83536,78,0,0,0.0,0.0009337291706569623,0.0
2025-01,06.멀티탭_메인_PC@naver_powerlink,165880,206568,184,6,61800,0.37255847600675185,0.00089074784090469,0.03260869565217391
2025-01,07.반려_MO@naver_shoppingsearch,2978272,109632,2332,466,10169600,3.414597457854756,0.021271161704611793,0.1998284734133791
2025-01,07.반려_PC@naver_shoppingsearch,443740,48580,300,44,1525600,3.438049308153423,0.006175380815150268,0.14666666666666667
2025-01,08.리빙_MO@naver_shoppingsearch,37268,80616,96,26,187400,5.028442631748417,0.0011908306043465317,0.2708333333333333
2025-01,08.리빙_PC@naver_shoppingsearch,0,122,0,0,0,,0.0,
2025-01,08.전원_메인_MO@naver_powerlink,57178,14772,132,16,109800,1.9203190038126552,0.008935824532900082,0.12121212121212122
2025-01,08.전원_메인_PC@naver_powerlink,29216,27204,74,0,0,0.0,0.002720188207616527,0.0
2025-01,08.전원_확장_MO@naver_powerlink,6336,1186,24,0,0,0.0,0.02023608768971332,0.0
2025-01,08.전원_확장_PC@naver_powerlink,2024,578,6,0,0,0.0,0.010380622837370242,0.0
2025-01,09.로청_MO@naver_shoppingbrand,237094,36146,696,2,0,0.0,0.019255242627123335,0.0028735632183908046
2025-01,09.로청_PC@naver_shoppingbrand,4092,1016,12,0,0,0.0,0.011811023622047244,0.0
2025-01,09.센서_메인_MO@naver_powerlink,44836,4954,124,28,340780,7.600588812561335,0.025030278562777553,0.22580645161290322
