월,캠페인유형,캠페인,광고그룹,"총비용(VAT포함,원)",노출수,클릭수,전환수,전환매출액(원),ROAS,CTR,CVR
2025-01,브랜드검색/신제품검색,01.신규 자사명@naver_brandsearch,신규_MO_자사명@cpd_hejhome_h,0,58509,19770,11633,186082550,inf,0.3378967338,0.5884167931
2025-01,브랜드검색/신제품검색,01.신규 자사명@naver_brandsearch,신규_PC_자사명@cpd_hejhome_h,0,10163,4983,3380,62698580,inf,0.4903079799,0.6783062412
2025-01,쇼핑검색,00.브랜드형@naver_shoppingbrand,00-0.자상호@cpc_mc05_h,3322,915,10,5,59900,18.03130644,0.01092896175,0.5
2025-01,쇼핑검색,00.자상호_MO@naver_shoppingsearch,01-1.홈카메라_MO@cpc_mc05_h,5443471,60941,5270,2746,52758300,9.692032896,0.08647708439,0.5210626186
2025-01,쇼핑검색,00.자상호_MO@naver_shoppingsearch,01-4.펫캠_MO@cpc_mc059_h,50600,24455,32,12,360000,7.114624506,0.001308525864,0.375
2025-01,쇼핑검색,00.자상호_MO@naver_shoppingsearch,01-5.베이비캠_MO@cpc_mc05_h,118998,1674,101,45,507900,4.26813896,0.06033452808,0.4455445545
2025-01,쇼핑검색,00.자상호_MO@naver_shoppingsearch,02-1.전동커튼_MO@cpc_curtainset_h,32615,24926,55,0,0,0,0.002206531333,0
2025-01,쇼핑검색,00.자상호_MO@naver_shoppingsearch,03-2.전구_MO@cpc_lb03r_h,31196,3987,130,24,183800,5.891780998,0.0326059694,0.1846153846
2025-01,쇼핑검색,00.자상호_MO@naver_shoppingsearch,04-1.온습도계_MO@cpc_th14_h,44594,916,93,51,661010,14.82284612,0.1015283843,0.5483870968
2025-01,쇼핑검색,00.자상호_MO@naver_shoppingsearch,04-1.온습도센서_MO@cpc_th02_h,45804,1576,47,21,66690,1.455986377,0.02982233503,0.4468085106
2025-01,쇼핑검색,00.자상호_MO@naver_shoppingsearch,07-1.펫급식기_MO@cpc_pf32_h,142791,53777,150,13,997600,6.986434719,0.002789296539,0.08666666667
2025-01,쇼핑검색,00.자상호_PC@naver_shoppingsearch,01-1.홈카메라_PC@cpc_mc05_h,955933,11350,873,440,10186320,10.65589325,0.07691629956,0.5040091638
2025-01,쇼핑검색,00.자상호_PC@naver_shoppingsearch,01-4.펫캠_PC@cpc_mc059_h,2409,486,2,0,0,0,0.004115226337,0
2025-01,쇼핑검색,00.자상호_PC@naver_shoppingsearch,01-5.베이비캠_PC@cpc_mc05_h,1144,17,1,0,0,0,0.05882352941,0
2025-01,쇼핑검색,00.자상호_PC@naver_shoppingsearch,02-1.전동커튼_PC@cpc_curtainset_h,2475,2197,7,0,0,0,0.003186162949,0
2025-01,쇼핑검색,00.자상호_PC@naver_shoppingsearch,03-2.전구_PC@cpc_lb03r_h,3905,377,11,0,0,0,0.02917771883,0
2025-01,쇼핑검색,00.자상호_PC@naver_shoppingsearch,04-1.온습도센서_PC@cpc_th02_h,1397,142,3,0,0,0,0.02112676056,0
2025-01,쇼핑검색,01.브랜드형_쇼검@naver_shoppingbrand, 01-1.홈카메라@cpc_mc05_h,218922,61499,237,111,1722170,7.866591754,0.003853721199,0.4683544304
2025-01,쇼핑검색,01.브랜드형_쇼검@naver_shoppingbrand,01-1.커튼@cpc_curtainset_h,350416,280559,385,0,0,0,0.00137226038,0
2025-01,쇼핑검색,01.펫_MO@naver_shoppingbrand,00-0.브랜드형_급식기_MO@cpc_pf32_h,72754,105808,134,31,347900,4.781867664,0.001266444881,0.2313432836
2025-01,쇼핑검색,01.펫_MO@naver_shoppingbrand,00-0.브랜드형_장난감_MO@cpc_pt40_h,30932,27226,49,3,32900,1.063623432,0.001799750239,0.0612244898
2025-01,쇼핑검색,01.펫_MO@naver_shoppingbrand,00-0.브랜드형_정수기_MO@cpc_pw30_h,26972,10864,68,2,214300,7.945276583,0.006259204713,0.02941176471
2025-01,쇼핑검색,01.펫_PC@naver_shoppingbrand,00-0.브랜드형_급식기_PC@cpc_pf32_h,0,44687,0,0,0,0,0,0
2025-01,쇼핑검색,01.펫_PC@naver_shoppingbrand,00-0.브랜드형_정수기_PC@cpc_pw30_h,330,4773,1,0,0,0,0.0002095118374,0
2025-01,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.A01_홈카메라_MO@cpc_mc05_h,580547,94368,477,96,2438670,4.200641809,0.005054679552,0.2012578616
2025-01,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.A02_홈캠_MO@cpc_mc05_h,7153729,108735,3838,706,17068920,2.386017139,0.03529682255,0.1839499739
2025-01,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.A03_홈CCTV_MO@cpc_mc05_h,1087878,45417,580,50,1404600,1.291137425,0.01277054847,0.08620689655
2025-01,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B01_홈카메라_MO@cpc_mc05_h,8217,3240,7,0,0,0,0.002160493827,0
2025-01,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B02_홈캠_MO@cpc_mc05_h,981046,15420,559,155,2404700,2.451159273,0.03625162127,0.2772808587
2025-01,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B03_홈CCTV_MO@cpc_mc05_h,73425,16451,115,0,0,0,0.006990456507,0
2025-01,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B04_강아지캠_MO@cpc_mc05_h,236599,29335,176,50,906400,3.830954484,0.00599965911,0.2840909091
2025-01,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B05_고양이캠_MO@cpc_mc05_h,3828,240,8,1,0,0,0.03333333333,0.125
2025-01,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B06_육아캠_MO@cpc_mc05_h,520707,20099,526,63,1993400,3.828256582,0.02617045624,0.1197718631
2025-01,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B07_맞벌이부부캠_MO@cpc_mc05_h,555368,178873,472,32,696300,1.25376327,0.00263874369,0.06779661017
2025-01,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B08_보안캠_MO@cpc_mc05_h,20042,846,26,0,0,0,0.03073286052,0
2025-01,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B09_부모님캠_MO@cpc_mc05_h,10967,436,54,20,104300,9.51034923,0.123853211,0.3703703704
2025-01,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B10_스마트캠_MO@cpc_mc05_h,16423,3407,21,0,0,0,0.006163780452,0
2025-01,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.A01_홈카메라_PC@cpc_mc05,183469,14874,102,2,180210,0.9822367811,0.006857603873,0.01960784314
2025-01,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.A02_홈캠_PC@cpc_mc05_h,550660,6903,305,86,1929700,3.504340246,0.04418368825,0.2819672131
2025-01,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.A03_홈CCTV_PC@cpc_mc05,60445,1517,39,8,173600,2.872032426,0.02570863546,0.2051282051
2025-01,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B01_홈카메라_PC@cpc_mc05,65824,1080,29,3,96100,1.459953816,0.02685185185,0.1034482759
2025-01,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B02_홈캠_PC@cpc_mc05,49951,744,28,1,124600,2.494444556,0.0376344086,0.03571428571
2025-01,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B03_홈CCTV_PC@cpc_mc05,124971,2332,75,0,0,0,0.03216123499,0
2025-01,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B04_강아지캠_PC@cpc_mc05,0,20,0,0,0,0,0,0
2025-01,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B05_고양이캠_PC@cpc_mc05,154,97,1,0,0,0,0.01030927835,0
2025-01,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B06_육아캠_PC@cpc_mc05,130251,2073,114,29,926100,7.110118156,0.05499276411,0.2543859649
2025-01,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B07_맞벌이부부캠_PC@cpc_mc05,0,370,0,0,0,0,0,0
2025-01,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B08_보안캠_PC@cpc_mc05,1232,255,6,0,0,0,0.02352941176,0
2025-01,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B09_부모님캠_PC@cpc_mc05,7612,2825,13,0,0,0,0.004601769912,0
2025-01,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B10_스마트캠_PC@cpc_mc05,24200,1310,21,5,94200,3.892561983,0.01603053435,0.2380952381
2025-01,쇼핑검색,02.커튼_MO@naver_shoppingsearch,1.A01_전동커튼_MO@cpc_curtainset,0,4,0,0,0,0,0,0
2025-01,쇼핑검색,02.커튼_MO@naver_shoppingsearch,1.A02_전동레일_MO@cpc_curtainset,0,6,0,0,0,0,0,0
2025-01,쇼핑검색,02.커튼_MO@naver_shoppingsearch,1.B01_전동커튼_MO@cpc_curtainset,0,5,0,0,0,0,0,0
2025-01,쇼핑검색,02.커튼_MO@naver_shoppingsearch,1.B07_자동커튼_MO@cpc_curtainset,0,29,0,0,0,0,0,0
2025-01,쇼핑검색,02.커튼_MO@naver_shoppingsearch,2.B01_우드블라인드_MO@cpc_bw15,18700,16355,52,39,564900,30.20855615,0.003179455824,0.75
2025-01,쇼핑검색,02.커튼_MO@naver_shoppingsearch,2.B02_블라인드_MO@cpc_bm23,35112,1308,50,0,0,0,0.03822629969,0
2025-01,쇼핑검색,02.커튼_PC@naver_shoppingsearch,1.A01_전동커튼_PC@cpc_curtainset,0,6,0,0,0,0,0,0
2025-01,쇼핑검색,02.커튼_PC@naver_shoppingsearch,1.A02_전동레일_PC@cpc_curtainset,66,1,1,0,0,0,1,0
2025-01,쇼핑검색,02.커튼_PC@naver_shoppingsearch,2.B01_우드블라인드PC@cpc_bw15,23892,690,25,0,0,0,0.03623188406,0
2025-01,쇼핑검색,02.커튼_PC@naver_shoppingsearch,2.B02_블라인드PC@cpc_bm23,29722,561,22,0,0,0,0.03921568627,0
2025-01,쇼핑검색,03.조명_MO@naver_shoppingsearch,03-2.전구_MO@cpc_lb03r_h,803,192,2,1,19900,24.78206725,0.01041666667,0.5
2025-01,쇼핑검색,03.조명_PC@naver_shoppingsearch,03-2.전구_PC@cpc_lb03_h,31592,1836,36,13,97200,3.076728286,0.01960784314,0.3611111111
2025-01,쇼핑검색,05.전원_MO@naver_shoppingsearch,05-3.플러그_MO@cpc_ep2_h,3190,8279,51,2,16900,5.297805643,0.006160164271,0.03921568627
2025-01,쇼핑검색,05.전원_MO@naver_shoppingsearch,05-4.멀티탭_MO@cpc_ps03_h,88,2658,1,0,0,0,0.0003762227239,0
2025-01,쇼핑검색,07.반려_MO@naver_shoppingsearch,1.B01_스마트급식기_MO@cpc_petcare,1292170,46183,932,170,3649500,2.824318782,0.02018058593,0.1824034335
2025-01,쇼핑검색,07.반려_MO@naver_shoppingsearch,1.B04_펫급식기_MO@cpc_petcare,64581,420,86,33,866500,13.41725895,0.2047619048,0.3837209302
